user_id,round_idx,song_id,track_name,rating
U0001,1,14iN3o8ptQ8cFVZTEmyQRV,I Kissed A Girl, 5
U0001,2,1Qiz4CnId2dgwbDdudGavl,Maneater,5
U0001,3,6ic8OlLUNEATToEFU3xmaH,Gimme More,4
U0001,4,4948g5UqwZFLGI8UTOXqdi,I Write Sins Not Tragedies,4
U0001,5,4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),5
U0001,6,4TCL0qqKyqsMZml0G3M9IM,Telephone,5
U0001,7,7F25roCtYi55JouckaayPC,Judas,5
U0001,8,1ue7zm5TVVvmoQV8lK6K2H,Pink Pony Club,5
U0001,9,4y5bvROuBDPr5fuwXbIBZR,Paper Rings,2
U0001,10,7jr3iPu4O4bTCVwLMbdU2i,Kiss and Make Up,2
U0001,11,48QmG1dfvMuYLxMPt7KSRA,No Lie,3
U0001,12,4ZaAkwewfMfXdjnNDGkKGe,Symphony,2
U0001,13,0dE0TVR4av3kNDHLmKwu3n,Sweet but Psycho,1
U0001,14,0lx2cLdOt3piJbcaXIV74f,willow,5
U0001,15,006aTr4KxDs9zELves3ipi,Maniac,4
U0124,16,6JGQ98So2ik5GVI9ydQ2Yh,Don't Speak,5
U0004,17,1ni8ZTAY1GHXEFOGHl7fdg,bellyache,1